  Pipes     Wait Time (ms)    Bytes     Time (ms)    Bytes per Second
------------------------------------------------------------------------
    1             1            13        4771            3
    1             2            13        25543            1
    1             3            13        4026            3
    1             4            13        2591            4
    1             5            13        2569            4
    1             6            13        2485            7
    1             7            13        3448            4
    1             8            13        3456            4
    1             9            13        3417            4
    1             10            13        3398            4
    2             1            13        6628            2
    2             2            13        8454            2
    2             3            13        4969            3
    2             4            13        3268            4
    2             5            13        3383            4
    2             6            13        3293            4
    2             7            13        5110            3
    2             8            13        5701            2
    2             9            13        5861            2
    2             10            13        4850            3
    3             1            13        4351            3
    3             2            13        12543            1
    3             3            13        3292            4
    3             4            13        2539            4
    3             5            13        3342            4
    3             6            13        3738            3
    3             7            13        3320            4
    3             8            13        3219            4
    3             9            13        3545            3
    3             10            13        4781            3
    4             1            13        4930            3
    4             2            13        5192            3
    4             3            13        3635            3
    4             4            13        3986            3
    4             5            13        4174            3
    4             6            13        3634            3
    4             7            13        2760            4
    4             8            13        2073            7
    4             9            13        2150            7
    4             10            13        2152            7
    5             1            13        2950            4
    5             2            13        2928            4
    5             3            13        3838            3
    5             4            13        3272            4
    5             5            13        8323            2
    5             6            13        3234            4
    5             7            13        2831            4
    5             8            13        3454            4
    5             9            13        4645            3
    5             10            13        2802            4
    1             1            100        8910            11
    1             2            100        17167            6
    1             3            100        9540            10
    1             4            100        12504            8
    1             5            100        128702            1
    1             6            100        22671            4
    1             7            100        37360            3
    1             8            100        42075            2
    1             9            100        33213            3
    1             10            100        17476            6
    2             1            100        14317            7
    2             2            100        60213            2
    2             3            100        7036            14
    2             4            100        6503            14
    2             5            100        6414            17
    2             6            100        29877            3
    2             7            100        33410            3
    2             8            100        28552            3
    2             9            100        20200            5
    2             10            100        23081            4
    3             1            100        10592            9
    3             2            100        15241            7
    3             3            100        13769            7
    3             4            100        9234            11
    3             5            100        7449            14
    3             6            100        6410            17
    3             7            100        5723            17
    3             8            100        6618            14
    3             9            100        9634            10
    3             10            100        7876            13
    4             1            100        47483            2
    4             2            100        7309            14
    4             3            100        12300            8
    4             4            100        11822            8
    4             5            100        6530            14
    4             6            100        5105            20
    4             7            100        7354            14
    4             8            100        6250            17
    4             9            100        6074            17
    4             10            100        4893            20
    5             1            100        5981            17
    5             2            100        11152            9
    5             3            100        6135            17
    5             4            100        7854            13
    5             5            100        6572            14
    5             6            100        21633            5
    5             7            100        27624            4
    5             8            100        12051            8
    5             9            100        97786            1
    5             10            100        1882            50
    10             1            100        776            100
    10             2            100        34409            3
    10             3            100        1502            50
    10             4            100        45488            2
    10             5            100        16219            6
    10             6            100        8975            11
    10             7            100        6596            14
    10             8            100        39220            3
    10             9            100        53452            2
    10             10            100        44280            2
    16             1            100        7759            13
    16             2            100        11519            8
    16             3            100        9849            10
    16             4            100        12271            8
    16             5            100        6012            17
    16             6            100        30923            3
    16             7            100        11958            8
    16             8            100        6300            17
    16             9            100        8309            13
    16             10            100        5638            17
    1             1            500        28974            17
