  Pipes     Wait Time (ms)    Bytes     Time (ms)    Bytes per Second
------------------------------------------------------------------------
    1             1            100        8910             11
    1             2            100        17167            6
    1             3            100        9540            10
    1             4            100        12504            8
    1             5            100        128702            1
    1             6            100        22671            4
    1             7            100        37360            3
    1             8            100        42075            2
    1             9            100        33213            3
    1             10            100        17476            6

1    1    13    4771    3
1    2    13    25543    1
1    3    13    4026    3
1    4    13    2591    4
1    5    13    2569    4
1    6    13    2485    7
1    7    13    3448    4
1    8    13    3456    4
1    9    13    3417    4
1    10    13    3398    4

2    1    13    6628    2
2    2    13    8454    2
2    3    13    4969    3
2    4    13    3268    4
2    5    13    3383    4
2    6    13    3293    4
2    7    13    5110    3
2    8    13    5701    2
2    9    13    5861    2
2    10    13    4850    3

3    1    13    4351    3
3    2    13    12543    1
3    3    13    3292    4
3    4    13    2539    4
3    5    13    3342    4
3    6    13    3738    3
3    7    13    3320    4
3    8    13    3219    4
3    9    13    3545    3
3    10    13    4781    3


10    1    1000    92753    11
10    2    1000    29675    33
10    3    1000    14199    71
10    4    1000    10781    91
10    5    1000    17421    59
10    6    1000    51334    20
10    7    1000    22891    43
10    8    1000    27323    37
10    9    1000    15129    67
10    10    1000    387690    3

16    1    1000    44510    22
16    2    1000    39418    26
16    3    1000    14103    71
16    4    1000    24264    42
16    5    1000    36645    27
16    6    1000    20202    50
16    7    1000    15389    67
16    8    1000    22442    45
16    9    1000    14636    67
16    10    1000    13901    71

